scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
300917,016017,80995330,特发服务,房地产,001,001,2,cyb,2020-12-16T00:00:00,2019-12-31T00:00:00,65328693.53,891219944.33,805580884.2,0.295081443894933,725026923.01,0.3137625056774,9619549.24,64701078.31,386871.37,88953122.3,91156031.43,23542735.43,-,-,-,-,-,5846462.27,-,-,-,-,-,-,-,-,0.274965,0.18283,0.261185,66055193.53,0.1847732633,2020/12/15 21:13:11,725026923.01
605377,016025,80406509,华旺科技,造纸印刷,001,001,2,shzb,2020-12-16T00:00:00,2019-12-31T00:00:00,170787524.38,1654020988.88,1484836060.35,-0.171411591580514,1352291071.35,-0.174689622230707,37948854.87,20883482.3,19468483.32,194180217.99,193572092.06,22732789.55,-,-,-,-,-,5762868.3,-,-,-,-,-,-,-,-,-0.140563,0.41931,0.362454,165255024.38,0.3472090834,2020/12/16 7:04:22,1352291071.35
688668,016022,80994759,鼎通科技,电子元件,001,001,2,,2020-12-15T00:00:00,2019-12-31T00:00:00,53938104.29,231353364.08,172471656.77,0.144396710587328,130129252.28,0.122549967060138,5545209.03,14300565.81,1653667.22,58648730.81,61131416.06,7193311.77,-,-,-,-,-,3035354.25,-,-,-,-,-,-,-,-,0.129769,0.130505,0.17962,51384624.23,0.1433602493,2020/12/14 19:15:58,130129252.28
605179,016012,80300468,一鸣食品,食品饮料,001,001,2,shzb,2020-12-15T00:00:00,2019-12-31T00:00:00,173994761.11,1997112513.68,1798927585.84,0.145844735386896,1212648710.53,0.141973182808572,432110229.55,107886797.21,-8078605.09,220190825.23,212414153.96,38419392.85,-,-,-,-,-,13156601.2,-,-,-,-,-,-,-,-,0.137977,0.130259,0.105095,160688061.11,0.0661306422,2020/12/15 7:03:12,1212648710.53
003029,016057,80995108,吉大正元,软件服务,001,001,2,zxb,2020-12-14T00:00:00,2019-12-31T00:00:00,88953417.25,600168913.94,494803861.32,0.474222708680113,286727052.26,0.604594146926601,93671391.89,69655494.66,-8736677.22,109790152.66,110071458.38,16358289.39,-,-,-,-,-,4587150.49,-,-,-,-,-,-,-,-,0.499841,0.087421,0.016905,88474445.56,0.443820967,2020/12/14 7:09:01,286727052.26
003028,016022,81016892,振邦智能,电子元件,001,001,2,zxb,2020-12-14T00:00:00,2019-12-31T00:00:00,115751974.41,696521329.21,568128404.24,0.219932461996218,502285371.47,0.197469035081273,10488010.54,14588799.9,5700553.75,132246735.49,132735264.53,16983290.12,-,-,-,-,-,4739705.3,-,-,-,-,-,-,-,-,0.227231,0.346862,0.349584,103673364.71,0.2261672689,2020/12/14 7:08:05,502285371.47
300923,016008,80995103,研奥股份,交运设备,001,001,2,cyb,2020-12-09T00:00:00,2019-12-31T00:00:00,59702503.2,370886753.73,301025218.99,0.00948095953505173,229366963.84,-0.0136130574809031,24485548.22,28303294.87,1216783.36,68970773.35,68990866.78,9288363.58,-,-,-,-,-,4462745.94,-,-,-,-,-,-,-,-,0.060367,0.217071,0.208061,58488649.39,0.3070474316,2020/12/10 15:55:19,229366963.84
605186,016047,80932335,健麾信息,医疗行业,001,001,2,shzb,2020-12-09T00:00:00,2019-12-31T00:00:00,91902522.44,300239668.97,188140211.62,0.164457122829946,124021566.24,0.229920167699347,25612872.83,19999301.3,-829565.98,121193751.0,121173171.7,15793458.87,-,-,-,-,-,1572359.3,-,-,-,-,-,-,-,-,0.170719,0.159849,0.231337,84024516.25,0.2085989963,2020/12/9 7:08:09,124021566.24
688608,016022,81048463,恒玄科技,电子元件,001,001,2,,2020-12-09T00:00:00,2019-12-31T00:00:00,67378816.54,648841600.25,590708417.79,0.806117342152201,404321344.3,0.920340189158645,8145489.89,45910684.99,-511491.1,68698127.58,68640217.65,1261401.11,-,-,-,-,-,479523.22,-,-,-,-,-,-,-,-,0.966451,21.66102,37.057691,54784800.87,35.4921835902,2020/12/8 19:14:17,404321344.3
300027,016039,80133694,华谊兄弟,文化传媒,001,001,2,cyb,2020-12-08T00:00:00,2019-12-31T00:00:00,-3977691690.71,2243545641.88,2862183889.56,-0.230415046616063,1607583269.32,-0.251326749054225,379786578.71,474763697.82,323002627.82,-3814499435.1,-3764160557.47,276285937.88,-,-,-,-,-,13074207.97,-,-,-,-,-,-,-,-,-0.411833,-3.078002,-2.40364,-3982881065.78,-2.3569790724,2020/12/9 14:09:48,1607583269.32
